LBSA  -20.6561  -177.4002  515.3760  0.472293  0.304650  2.077363  5.28
MOAL  -20.6561  -177.4002  515.3760  0.328564  0.180302  1.241332  4.50
S01W  -20.6561  -177.4002  515.3760  0.287610  0.208644  2.129224  4.37
TNGA  -20.6561  -177.4002  515.3760  0.188750  0.120212  1.239654  2.83
VABL  -20.6561  -177.4002  515.3760  0.455823  0.230939  1.502807  5.91
B07W  -19.2560  -174.4600  75.3358  0.363584  0.278014  2.168745  14.52
C05W  -19.2560  -174.4600  75.3358  0.441332  0.272200  2.036672  14.47
C08W  -19.2560  -174.4600  75.3358  0.516699  0.191769  1.391125  17.60
N01W  -19.2560  -174.4600  75.3358  0.328586  0.283242  2.381260  17.38
PNGI  -19.2560  -174.4600  75.3358  0.138244  0.137912  1.109279  9.69
A01  -18.9786  -175.8623  288.8877  0.532274  0.384659  3.058165  10.45
B02  -18.9786  -175.8623  288.8877  0.663671  0.211876  1.573587  16.26
B03  -18.9786  -175.8623  288.8877  0.678221  0.226790  1.464337  17.01
B04W  -18.9786  -175.8623  288.8877  0.636499  0.256162  1.712598  16.19
B05W  -18.9786  -175.8623  288.8877  0.583433  0.402336  2.991497  15.04
B06  -18.9786  -175.8623  288.8877  0.600477  0.360933  2.640828  15.66
B07W  -18.9786  -175.8623  288.8877  0.690544  0.293165  2.035245  18.17
B09W  -18.9786  -175.8623  288.8877  0.611877  0.164154  1.330048  16.14
B10  -18.9786  -175.8623  288.8877  0.648554  0.225618  1.535504  16.97
B11W  -18.9786  -175.8623  288.8877  0.617216  0.322184  2.223976  16.08
B12  -18.9786  -175.8623  288.8877  0.610258  0.267044  1.821164  15.76
C01W  -18.9786  -175.8623  288.8877  0.520517  0.318333  2.292450  11.85
C03W  -18.9786  -175.8623  288.8877  0.620661  0.274523  1.986072  13.66
C05W  -18.9786  -175.8623  288.8877  0.661379  0.159001  1.269729  15.43
C08W  -18.9786  -175.8623  288.8877  0.687314  0.434569  2.868471  16.93
EUAP  -18.9786  -175.8623  288.8877  0.336087  0.222366  1.977329  6.68
A02W  -21.1880  -176.2617  212.6418  0.371509  0.197257  1.839708  12.82
B02  -21.1880  -176.2617  212.6418  0.389066  0.217444  1.970115  10.86
B03  -21.1880  -176.2617  212.6418  0.395291  0.252835  2.223080  11.30
